league,train_season,test_season,edge_threshold,p_draw_min,p_draw_max,train_bets,train_hit_rate,train_roi_units,train_roi,test_bets,test_hit_rate,test_roi_units,test_roi,positive_both
Championship,2023-24,2025-26,0.01,0.0,1.0,362,0.20442,-73.39,-0.202735,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.24,0.27,53,0.150943,-18.37,-0.346604,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.24,0.3,225,0.177778,-60.12,-0.2672,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.24,0.33,341,0.214076,-55.58,-0.162991,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.24,0.36,357,0.207283,-68.39,-0.191569,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.24,1.0,358,0.206704,-69.39,-0.193827,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.27,0.3,172,0.186047,-41.75,-0.242733,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.27,0.33,288,0.225694,-37.21,-0.129201,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.27,0.36,304,0.217105,-50.02,-0.164539,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.27,1.0,305,0.216393,-51.02,-0.167279,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.3,0.33,116,0.284483,4.54,0.039138,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.3,0.36,132,0.257576,-8.27,-0.062652,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.3,1.0,133,0.255639,-9.27,-0.069699,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.02,0.0,0.3,173,0.150289,-59.55,-0.34422,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.02,0.0,0.33,270,0.177778,-72.64,-0.269037,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.02,0.0,0.36,285,0.17193,-84.45,-0.296316,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.02,0.0,1.0,286,0.171329,-85.45,-0.298776,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.02,0.24,0.3,170,0.152941,-56.55,-0.332647,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.02,0.24,0.33,267,0.179775,-69.64,-0.260824,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.02,0.24,0.36,282,0.173759,-81.45,-0.28883,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.02,0.24,1.0,283,0.173145,-82.45,-0.291343,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.02,0.27,0.3,128,0.164062,-37.34,-0.291719,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.02,0.27,0.33,225,0.191111,-50.43,-0.224133,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.02,0.27,0.36,240,0.183333,-62.24,-0.259333,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.02,0.27,1.0,241,0.182573,-63.24,-0.262407,0,0.0,0.0,0.0,0
